Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Shirt,Tabard
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Death God's Signet,Ritual Bone Band,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Engorged Worm Smasher,Chyrus's Crest of Hope,156893097,,
Wrathbark Greathelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fleshfused Crushers,Arachnid Cipher Ring,Shadowghast Ring,Decanter of Anima-Charged Winds,Slimy Consumptive Organ,Mantle of Manifest Sins,Axe of the Deadgrove,Acidslough Bulwark,96768294,Undisputed Champion's Shirt,Tabard of the Protector
Sinful Gladiator's Plate Helm,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Bloodoath Signet,Stitchflesh's Misplaced Signet,Sinful Gladiator's Insignia of Alacrity,Anima Field Emitter,Sinful Gladiator's Drape,Supercollider,Sinful Gladiator's Guard,194386574,,
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fleshfused Crushers,Shadowghast Ring,Sinful Gladiator's Ring,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Sinful Gladiator's Hacker,Acidslough Bulwark,176231782,,
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Muckwallow Stompers,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Hyperlight Band,Death God's Signet,Viscera of Coalesced Hatred,Blood-Spattered Scale,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,247688319,Stylish Black Shirt,
Wing Commander's Helmet,Sin Stained Pendant,Epaulettes of Overwhelming Force,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Shadowghast Greaves,Sinful Gladiator's Plate Warboots,Hellhound Cuffs,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Ritual Bone Band,Stone Legion Heraldry,Blood-Spattered Scale,Cowled Batwing Cloak,Supercollider,Stonewrought Gargoyles Barrier,182104757,,
Plague Handler's Greathelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Shadowghast Ring,Ardent Sunstar Signet,Pulsating Stoneheart,Splintered Heart of Al'ar,Crest of the Legionnaire General,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,183148479,Precious' Ribbon,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Legplates of Unholy Frenzy,Muckwallow Stompers,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Bladedancer's Armor Kit,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinsmasher,Chyrus's Crest of Hope,18820223,Artisan Officer's Shirt,Tabard of the Lightbringer
Diadem of Imperious Desire,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Most Regal Signet of Sire Denathrius,Signet of the False Accuser,Overwhelming Power Crystal,Decanter of Anima-Charged Winds,Crest of the Legionnaire General,Axe of the Deadgrove,Chyrus's Crest of Hope,102178351,Red Linen Shirt,Tabard of the Ascended
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Ring,Ritualist's Treasured Ring,Splintered Heart of Al'ar,Blood-Spattered Scale,Drape of Twisted Loyalties,Sophisticated Bonecracker,Barricade of the Endless Empire,196113285,,Renowned Guild Tabard
Shadowghast Helm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Breastplate of Cautious Calculation,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Hellhound Cuffs,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Overwhelming Power Crystal,Cowled Batwing Cloak,Axe of the Deadgrove,Elysian Sentinel's Aegis,30076378,,Argent Crusader's Tabard
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Dynamo Doomstompers,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Ritual Bone Band,Sinful Gladiator's Ring,Sinful Aspirant's Insignia of Alacrity,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Sinsmasher,Sinful Gladiator's Guard,215318165,Brown Linen Shirt,Stormwind Tabard
Shadowghast Helm,Noble's Birthstone Pendant,Prankster's Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Dynamo Doomstompers,Hellhound Cuffs,Fogweaver Gauntlets,Entwined Gorger Tendril,Hyperlight Band,Stone Legion Heraldry,Blood-Spattered Scale,Crest of the Legionnaire General,Reaver of Renewed Resolve,Encrusted Canopic Lid,141465253,Captain Sanders' Shirt,Arathor Battle Tabard
Wrathbark Greathelm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Errant Crusader's Greaves,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Most Regal Signet of Sire Denathrius,Signet of the False Accuser,Stone Legion Heraldry,Anima Field Emitter,Crest of the Legionnaire General,Barbed-Edge of the Stone Legion,Acidslough Bulwark,68332358,Precious' Ribbon,Tabard of the Lightbringer
Shadowghast Helm,Sinful Gladiator's Necklace,Epaulettes of Overwhelming Force,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Bloodoath Signet,Anima Field Emitter,Overwhelming Power Crystal,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Sinful Gladiator's Redoubt,185122145,Ebon Filigreed Shirt,Tabard of the Ascended
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Gormshell Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Death God's Signet,Signet of the False Accuser,Overwhelming Power Crystal,Gluttonous Spike,Dealer Xy'exa's Cape,Axe of the Deadgrove,Barricade of the Endless Empire,195787249,,
Wrathbark Greathelm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Shadowghast Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Hyperlight Band,Arachnid Cipher Ring,Anima Field Emitter,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Chyrus's Crest of Hope,163362754,,Lightforged Tabard
Shadowghast Helm,Sinful Gladiator's Pendant,Sinful Gladiator's Plate Shoulders,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Sinful Gladiator's Plate Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Sinful Gladiator's Ring,Ring of Perpetual Conflict,Anima Field Emitter,Blood-Spattered Scale,Sinful Gladiator's Drape,Engorged Worm Smasher,Sinful Gladiator's Bulwark,218020568,Artisan Officer's Shirt,Stormwind Tabard
Wrathbark Greathelm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Breastplate of Cautious Calculation,Waistguard of Expurged Anguish,Gormshell Greaves,Muckwallow Stompers,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ardent Sunstar Signet,Shadowghast Ring,Sinful Gladiator's Badge of Ferocity,Sinful Gladiator's Insignia of Alacrity,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Chyrus's Crest of Hope,180862156,Black Swashbuckler's Shirt,Rustbolt Resistance Tabard
Darkfrost Helmet,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Gormshell Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Death God's Signet,Ritualist's Treasured Ring,Inscrutable Quantum Device,Anima Field Emitter,Blighted Margrave's Cloak,Sinsmasher,Encrusted Canopic Lid,114207216,Artisan Officer's Shirt,Tabard of the Lightbringer
Shadowghast Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Hyperlight Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,161166557,,
Diadem of Imperious Desire,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Hyperlight Band,Signet of the False Accuser,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Grim-Veiled Cape,Sinful Gladiator's Xiphos,Elysian Sentinel's Aegis,178180802,,Tabard of the Ascended
Plague Handler's Greathelm,Sinful Aspirant's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Shoulderblade Vambraces,Fleshfused Crushers,Sinful Gladiator's Ring,Arachnid Cipher Ring,Sinful Gladiator's Insignia of Alacrity,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Barricade of the Endless Empire,161940989,Lucky Shirt,Stormwind Tabard
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Ring of Perpetual Conflict,Bloodoath Signet,Stone Legion Heraldry,Splintered Heart of Al'ar,Cowled Batwing Cloak,Xandria's Kopis of Courage,Acidslough Bulwark,96588270,Artisan Officer's Shirt,Tabard of the Ascended
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Dynamo Doomstompers,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Ring of Perpetual Conflict,Stitchflesh's Misplaced Signet,Gluttonous Spike,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Xandria's Kopis of Courage,Encrusted Canopic Lid,197456256,,Army of the Light Tabard
Darkfrost Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Signet of the False Accuser,Shadowghast Ring,Inscrutable Quantum Device,Blood-Spattered Scale,Mantle of Manifest Sins,Supercollider,Acidslough Bulwark,193790432,,
Shadowghast Helm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Halkias's Towering Pillars,Muckwallow Stompers,Hellhound Cuffs,Fleshfused Crushers,Most Regal Signet of Sire Denathrius,Signet of the False Accuser,Splintered Heart of Al'ar,Stone Legion Heraldry,Cowled Batwing Cloak,Barbed-Edge of the Stone Legion,Encrusted Canopic Lid,180420766,Captain Sanders' Shirt,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Decanter of Anima-Charged Winds,Slimy Consumptive Organ,Decadent Nathrian Shawl,Axe of the Deadgrove,Acidslough Bulwark,162182888,Artisan Officer's Shirt,Renowned Guild Tabard
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Death God's Signet,Ritualist's Treasured Ring,Anima Field Emitter,Viscera of Coalesced Hatred,Cloak of Enveloping Manifestations,Gorestained Cleaver,Sinful Gladiator's Guard,154405274,,
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Ritual Commander's Ring,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Supercollider,Barricade of the Endless Empire,107271066,,Tushui Tabard
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Hyperlight Band,Splintered Heart of Al'ar,Bladedancer's Armor Kit,Cowled Batwing Cloak,Supercollider,Encrusted Canopic Lid,193054276,,
Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Breastplate of Cautious Calculation,Binding of Warped Desires,Legplates of Unholy Frenzy,Sinful Gladiator's Plate Warboots,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ardent Sunstar Signet,Ritual Bone Band,Blood-Spattered Scale,Bargast's Leash,Decadent Nathrian Shawl,Gorestained Cleaver,Encrusted Canopic Lid,165077509,Sleeveless T-Shirt,Tabard of Flame
Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Anima Field Emitter,Overwhelming Power Crystal,Mantle of Manifest Sins,Gorestained Cleaver,Barricade of the Endless Empire,164651210,Artisan Officer's Shirt,Tabard of the Lightbringer
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Gormshell Greaves,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Sinful Gladiator's Ring,Death God's Signet,Bladedancer's Armor Kit,Pulsating Stoneheart,Blighted Margrave's Cloak,Sinsmasher,Acidslough Bulwark,188927309,,
Sinful Gladiator's Plate Helm,Charm of Eternal Winter,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Ritual Commander's Ring,Blood-Spattered Scale,Phial of Putrefaction,Cowled Batwing Cloak,Sinsmasher,Elysian Sentinel's Aegis,226274304,The Very Best Shirt,
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Dynamo Doomstompers,Thunderous Echo Vambraces,Fleshfused Crushers,Ritual Commander's Ring,Sinful Gladiator's Ring,Splintered Heart of Al'ar,Blood-Spattered Scale,Crest of the Legionnaire General,Sinsmasher,Sinful Gladiator's Guard,178142124,,Tabard of the Ascended
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fleshfused Crushers,Ritualist's Treasured Ring,Death God's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Crest of the Legionnaire General,Sinsmasher,Acidslough Bulwark,165606918,,Tabard of the Dark Iron
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Stone Legion Heraldry,Blood-Spattered Scale,Blighted Margrave's Cloak,Sophisticated Bonecracker,Acidslough Bulwark,197302542,Irradiated Undercoat,Renowned Guild Tabard
Shadowghast Helm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Death God's Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Decadent Nathrian Shawl,Sinsmasher,Elysian Sentinel's Aegis,175810099,,
Sinful Gladiator's Plate Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Sinful Gladiator's Plate Chestplate,Girdle of the Soulflayer,Shadowghast Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Sinful Gladiator's Plate Handguards,Most Regal Signet of Sire Denathrius,Sinful Gladiator's Signet,Stone Legion Heraldry,Blood-Spattered Scale,Cowled Batwing Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,195177961,Precious' Ribbon,Tabard of the Lightbringer
Darkfrost Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Dynamo Doomstompers,Vambraces of the Depraved Warden,Guilewind Stone Talons,Shadowghast Ring,Death God's Signet,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Barricade of the Endless Empire,185202259,,Stormwind Tabard
Shadowghast Helm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Bloodoath Signet,Signet of the False Accuser,Sinful Gladiator's Insignia of Alacrity,Blood-Spattered Scale,Sinful Gladiator's Drape,Axe of the Deadgrove,Sinful Gladiator's Guard,115287737,,Guild Tabard
Shadowghast Helm,Trailspinner Pendant,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Binding of Warped Desires,Legplates of Unholy Frenzy,Dynamo Doomstompers,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Bladedancer's Armor Kit,Pulsating Stoneheart,Dealer Xy'exa's Cape,Engorged Worm Smasher,Sinful Gladiator's Guard,196975800,Artisan Officer's Shirt,Stormpike Battle Tabard
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Gormshell Greaves,Muckwallow Stompers,Pit Fighter's Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Blood-Spattered Scale,Gluttonous Spike,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,126725985,,Arathor Battle Tabard
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Abdominal Securing Chestguard,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ritual Bone Band,Hyperlight Band,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Engorged Worm Smasher,Chyrus's Crest of Hope,139762690,Master Builder's Shirt,Tabard of the Lightbringer
Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Chestplate of the March Warden,Shadowghast Waistguard,Endlessly Gluttonous Greaves,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Bloodoath Signet,Macabre Sheet Music,Bladedancer's Armor Kit,Blighted Margrave's Cloak,Sinsmasher,Barricade of the Endless Empire,141445649,Precious' Ribbon,Tabard of the Ascended
Darkfrost Helmet,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Sinful Gladiator's Plate Chestguard,Waistguard of Expurged Anguish,Endlessly Gluttonous Greaves,Shadowghast Sabatons,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Sinful Gladiator's Ring,Ritual Bone Band,Sinful Gladiator's Insignia of Alacrity,Memory of Past Sins,Cowled Batwing Cloak,Engorged Worm Smasher,Stonewrought Gargoyles Barrier,192017612,Precious' Ribbon,Tabard of the Lightbringer
